,count,prevalence,label
label_HYPERTENSION,122537,0.153164549050979,label_HYPERTENSION
label_ARRHYTHMIA,112497,0.14061509808945857,label_ARRHYTHMIA
label_HEART_FAILURE,95781,0.119721012205716,label_HEART_FAILURE
label_MI,63022,0.07877405363515347,label_MI
label_CONDUCTION,21813,0.027265057153749522,label_CONDUCTION
label_CARDIOMYOPATHY,17272,0.0215890554788228,label_CARDIOMYOPATHY
label_MITRAL_STENOSIS,4589,0.005735999050041561,label_MITRAL_STENOSIS
